hypothesis_id,module,kind,feature,observation,interpretation,expected_direction,discovery_a_n,discovery_b_n,discovery_delta,discovery_trimmed_delta,action,holdout_test
breakout:feature:rsi_distance_from_avg,breakout,feature,rsi_distance_from_avg,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,158,155,0.013555202136073316,0.011576909405837426,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:htf_adx,breakout,feature,htf_adx,SUPPORTED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,148,159,-0.015078702327651882,-0.010305966642476232,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:adx_margin,breakout,feature,adx_margin,SUPPORTED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,148,159,-0.015078702327651882,-0.010305966642476232,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:ema_spread_pct,breakout,feature,ema_spread_pct,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,156,155,0.012668028318470036,0.0011653578929476955,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:atr_pct,breakout,feature,atr_pct,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,156,157,-0.0032836982605142576,-0.010076128276180372,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:candle_range_atr,breakout,feature,candle_range_atr,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,153,157,-0.0009493241150202187,-0.0016473449253548121,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:volume_ratio,breakout,feature,volume_ratio,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,158,154,-0.0034099869877090485,-0.0031755837368243976,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:distance_to_breakout_atr,breakout,feature,distance_to_breakout_atr,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,156,156,-0.009370262309910973,-0.0015224097731872588,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:bb_width,breakout,feature,bb_width,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,155,158,0.002897699942474236,-0.004839561115958476,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:distance_to_squeeze_pct,breakout,feature,distance_to_squeeze_pct,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,151,149,0.010618943895937812,0.003915305229630977,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:distance_to_upper_band_atr,breakout,feature,distance_to_upper_band_atr,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,155,159,0.012634773673080347,0.005559099402675143,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:bars_since_rsi_up,breakout,feature,bars_since_rsi_up,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,187,80,-0.005737644363118038,-0.0014050460679244452,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:bars_since_oversold,breakout,feature,bars_since_oversold,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,1,148,147,0.019090638571086716,0.013595246366498948,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
breakout:feature:bars_since_squeeze,breakout,feature,bars_since_squeeze,MIXED,Fixed discovery highest bin minus lowest bin within approved pure signals,-1,239,148,-0.003470565129927948,-0.004294289981512477,TAKE/SKIP FEATURE CANDIDATE,Frozen discovery bin edges; highest minus lowest; same 10-bar primary and replication screen as filters
